year,globalat,cityat
1796,8.27,25.05
1797,8.51,26.71
1798,8.67,24.19
1799,8.51,25.31
1800,8.48,25.25
1801,8.59,24.11
1802,8.58,25.69
1803,8.50,25.44
1804,8.84,25.76
1805,8.56,25.35
1806,8.43,25.26
1807,8.28,24.86
1808,7.63,
1809,7.08,
1810,6.92,
1811,6.86,
1812,7.05,
1813,7.74,24.60
1814,7.59,23.71
1815,7.24,24.13
1816,6.94,23.77
1817,6.98,23.91
1818,7.83,24.32
1819,7.37,23.93
1820,7.62,24.15
1821,8.09,24.88
1822,8.19,24.98
1823,7.72,24.73
1824,8.55,25.35
1825,8.39,25.15
1826,8.36,25.17
1827,8.81,25.36
1828,8.17,24.95
1829,7.94,24.76
1830,8.52,25.08
1831,7.64,24.51
1832,7.45,24.72
1833,8.01,24.89
1834,8.15,24.84
1835,7.39,23.93
1836,7.70,24.61
1837,7.38,24.50
1838,7.51,24.48
1839,7.63,24.56
1840,7.80,24.79
1841,7.69,24.57
1842,8.02,24.79
1843,8.17,24.75
1844,7.65,24.39
1845,7.85,24.65
1846,8.55,25.15
1847,8.09,24.67
1848,7.98,24.52
1849,7.98,24.53
1850,7.90,24.86
1851,8.18,24.82
1852,8.10,24.67
1853,8.04,24.97
1854,8.21,25.08
1855,8.11,25.23
1856,8.00,23.84
1857,7.76,24.32
1858,8.10,
1859,8.25,
1860,7.96,
1861,7.85,
1862,7.56,
1863,8.11,
1864,7.98,
1865,8.18,27.27
1866,8.29,15.61
1867,8.44,20.43
1868,8.25,24.91
1869,8.43,25.06
1870,8.20,24.91
1871,8.12,24.95
1872,8.19,24.97
1873,8.35,25.08
1874,8.43,25.01
1875,7.86,25.39
1876,8.08,25.05
1877,8.54,25.30
1878,8.83,25.42
1879,8.17,24.79
1880,8.12,25.37
1881,8.27,24.93
1882,8.13,24.84
1883,7.98,24.87
1884,7.77,24.64
1885,7.92,24.49
1886,7.95,24.92
1887,7.91,24.87
1888,8.09,24.93
1889,8.32,25.32
1890,7.97,25.09
1891,8.02,24.72
1892,8.07,25.50
1893,8.06,23.92
1894,8.16,24.89
1895,8.15,25.20
1896,8.21,26.04
1897,8.29,25.67
1898,8.18,25.50
1899,8.40,25.73
1900,8.50,25.68
1901,8.54,25.55
1902,8.30,25.72
1903,8.22,25.20
1904,8.09,24.99
1905,8.23,24.83
1906,8.38,25.22
1907,7.95,25.12
1908,8.19,25.22
1909,8.18,24.82
1910,8.22,24.87
1911,8.18,25.38
1912,8.17,25.28
1913,8.30,25.11
1914,8.59,25.31
1915,8.59,25.67
1916,8.23,25.02
1917,8.02,23.90
1918,8.13,25.36
1919,8.38,24.92
1920,8.36,25.16
1921,8.57,25.98
1922,8.41,25.19
1923,8.42,25.40
1924,8.51,25.11
1925,8.53,24.89
1926,8.73,24.95
1927,8.52,24.89
1928,8.63,25.75
1929,8.24,25.51
1930,8.63,25.37
1931,8.72,25.76
1932,8.71,25.66
1933,8.34,24.65
1934,8.63,24.97
1935,8.52,24.94
1936,8.55,24.79
1937,8.70,24.85
1938,8.86,25.24
1939,8.76,25.18
1940,8.76,25.08
1941,8.77,26.31
1942,8.73,25.52
1943,8.76,25.31
1944,8.85,25.02
1945,8.58,24.84
1946,8.68,25.48
1947,8.80,25.62
1948,8.75,25.49
1949,8.59,25.59
1950,8.37,24.79
1951,8.63,25.55
1952,8.64,25.80
1953,8.87,26.09
1954,8.56,25.68
1955,8.63,25.13
1956,8.28,25.20
1957,8.73,24.98
1958,8.77,26.09
1959,8.73,25.67
1960,8.58,25.64
1961,8.80,24.91
1962,8.75,25.26
1963,8.86,25.44
1964,8.41,25.34
1965,8.53,25.47
1966,8.60,25.87
1967,8.70,25.15
1968,8.52,25.05
1969,8.60,25.84
1970,8.70,25.37
1971,8.60,24.57
1972,8.50,25.50
1973,8.95,25.72
1974,8.47,25.63
1975,8.74,25.22
1976,8.35,25.53
1977,8.85,25.59
1978,8.69,25.21
1979,8.73,26.03
1980,8.98,25.96
1981,9.17,25.78
1982,8.64,25.37
1983,9.03,24.84
1984,8.69,25.51
1985,8.66,25.83
1986,8.83,25.44
1987,8.99,26.43
1988,9.20,26.06
1989,8.92,25.47
1990,9.23,25.58
1991,9.18,25.85
1992,8.84,25.69
1993,8.87,25.88
1994,9.04,25.75
1995,9.35,25.86
1996,9.04,25.63
1997,9.20,24.92
1998,9.52,25.91
1999,9.29,26.12
2000,9.20,25.98
2001,9.41,25.76
2002,9.57,26.66
2003,9.53,25.84
2004,9.32,26.11
2005,9.70,25.85
2006,9.53,26.34
2007,9.73,26.00
2008,9.43,25.57
2009,9.51,26.55
2010,9.70,26.51
2011,9.52,25.53
2012,9.51,25.86
2013,9.61,26.69
